PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
CJi0b,6k1/p1p2ppp/1pqp2r1/3Q4/8/1P6/P1P2PPP/4RK2 b - - 8 22,c6d5 e1e8,400,116,81,1125,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/zhWsNjI8/black#44,
3IQ26,4r1k1/2Q2ppp/2p2n2/3p4/N7/4r3/P5PP/2q2R1K w - - 0 25,f1c1 e3e1 c1e1 e8e1,400,103,68,178,backRankMate endgame mate mateIn2 short,https://lichess.org/IcPcaawQ#49,
xPm0J,r1r3k1/pbp2pp1/1p2p2p/3qN3/1P1P4/P1R1P2P/3Q1PP1/5RK1 w - - 3 25,f1c1 d5g2,400,95,100,222,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aJUcm396#49,
OKJUS,6k1/p3rppp/1p6/8/2P1p3/3n2P1/PP1R1P1P/4NK2 b - - 1 24,d3e5 d2d8 e7e8 d8e8,400,105,72,488,backRankMate endgame mate mateIn2 short,https://lichess.org/YiiYrsZE/black#48,
CLGmc,4Q1k1/p4pp1/1bpn4/6p1/1P4q1/P2B4/2P1R1PP/7K b - - 4 32,d6e8 e2e8,400,94,100,188,endgame mate mateIn1 oneMove,https://lichess.org/wAQHrkLy/black#64,
bE6fZ,r1kr4/pp4p1/7p/4R3/1Q2p3/8/P1P2PPP/6K1 w - - 1 24,e5e7 d8d1 b4e1 d1e1,400,96,79,88,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/PCZxkRvv#47,
sc5rj,8/3r1pk1/R5pp/8/8/8/P4PPP/6K1 w - - 0 30,a2a4 d7d1,400,113,44,144,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/4561wwr2#59,
eIOW1,r4Q1k/pp4pp/2p1P3/3n2q1/8/1P5P/P2P1RP1/2R3K1 b - - 4 28,a8f8 f2f8,414,105,58,239,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/LlagAZSo/black#56,
nlJfC,4rQ1k/1p4pp/p7/2Pp2p1/P1qP4/2P4P/3B1RK1/8 b - - 0 39,e8f8 f2f8,416,97,100,286,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/MVuEdh3g/black#78,
PVj9k,4rnk1/5ppp/p2q4/1p2P3/2p5/8/PPQ2PPP/4R1K1 w - - 0 24,e5d6 e8e1,416,91,100,272,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/J0OpHIrK#47,
ZZ0gg,6k1/5ppp/4p3/2P5/1Pr4P/5P2/3R2PK/3b4 b - - 2 33,d1a4 d2d8 a4e8 d8e8,424,102,100,179,backRankMate endgame mate mateIn2 short,https://lichess.org/0kva69lw/black#66,
D5cTb,3r2k1/1b3ppp/1p6/8/p1pP1B2/P6P/7K/4R3 b - - 0 35,d8d4 e1e8,425,98,64,132,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/UoXD4hiC/black#70,
K0G5d,1r4k1/pR2Rppp/2p5/8/P7/r5PP/5P2/6K1 b - - 0 26,b8b7 e7e8,428,99,93,1395,backRankMate endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/bPoBOA2y/black#52,
RINBX,r5k1/p1pp1ppp/1p6/1r1b4/8/PP2R2P/K1P3P1/7R b - - 0 21,a8e8 e3e8,430,103,96,551,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/zrU0O8xx/black#42,
OIGPo,4k3/4P2R/4K3/5n1p/6p1/6P1/P6r/8 b - - 0 55,f5g3 h7h8,437,99,95,159,endgame mate mateIn1 oneMove,https://lichess.org/dnIdfvMj/black#110,
iHfRT,2r2rk1/5p1p/5np1/PR1PP3/8/6pP/6P1/2R3K1 w - - 1 37,e5f6 c8c1,444,93,82,209,endgame hangingPiece mate mateIn1 oneMove rookEndgame,https://lichess.org/tTVnjIIl#73,
L0yrB,1Q3r1k/5ppp/8/3q4/2p5/2PbRP2/P2n2PP/4R1K1 b - - 0 27,f8b8 e3e8 b8e8 e1e8,446,89,78,92,backRankMate endgame mate mateIn2 short,https://lichess.org/GJupLTi0/black#54,
OO2cU,3r4/1k1r4/1p4R1/p1p1Q3/8/2P5/PP6/K3R3 w - - 9 47,g6e6 d7d1 e1d1 d8d1,448,98,100,201,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/wyztTWZZ#93,
qEV9b,1k5r/ppp2p2/3b1Q1p/1P6/P3p3/6PP/2P2P1K/3r4 b - - 0 31,h8d8 f6d8,452,102,65,100,endgame hangingPiece mate mateIn1 oneMove queensideAttack,https://lichess.org/qscGnodX/black#62,
VP3b8,6k1/pp4p1/3Rp3/5pNp/7P/4nP2/PPr3P1/1K6 b - - 1 25,c2g2 d6d8,454,102,78,250,endgame mate mateIn1 oneMove,https://lichess.org/wXdS5nca/black#50,
e63Je,r1b2rk1/pp2n2p/2nRpppB/8/2P5/8/P3KPPP/3R4 b - - 6 22,f8f7 d6d8 c6d8 d1d8 f7f8 d8f8,455,88,84,199,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/6vURTi3o/black#44,
Ht33i,3r2k1/1p1R1ppp/p4b2/8/5B2/1P5P/P3RPP1/6K1 b - - 0 27,d8d7 e2e8,460,99,100,188,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/PjUl9qp3/black#54,
3THwu,1k2q3/ppp3Qp/8/2b2N2/6P1/P7/1PP5/2K5 w - - 0 33,g7h7 e8e1,464,87,100,1081,endgame mate mateIn1 oneMove,https://lichess.org/sfKh6WMN#65,
bl3ah,r1bqk1nr/ppp2ppp/2n5/3BP3/1b1P4/2N2Q2/PPP2PPP/R1B1K2R b KQkq - 2 9,c6d4 f3f7,465,93,100,309,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/0RSFjOhV/black#18,Four_Knights_Game Four_Knights_Game_Halloween_Gambit
sgm83,r2qkbnr/pppbp2p/2n3N1/3p3B/8/8/PPPP1PPP/RNBQK2R b KQkq - 0 7,h7g6 h5g6,465,100,98,873,bodenMate mate mateIn1 oneMove opening,https://lichess.org/Iii4dNDq/black#14,Nimzowitsch_Defense Nimzowitsch_Defense_Colorado_Countergambit_Accepted
Cfofr,8/3K1Bk1/4P2p/6b1/8/8/3r4/1R6 w - - 3 64,d7e8 d2d8,466,89,100,196,endgame mate mateIn1 oneMove,https://lichess.org/PrEBZq6o#127,
H6WNq,rk2Rbnr/2q2p2/ppQ3pp/8/8/8/PPP2PPP/R1B3K1 b - - 1 20,b8a7 e8a8,474,99,100,282,mate mateIn1 middlegame oneMove,https://lichess.org/AX62kpOA/black#40,
fhWrm,6k1/3R1pBp/Rn2rPp1/8/2p5/5KP1/7r/8 b - - 0 38,b6d7 a6a8 d7b8 a8b8 e6e8 b8e8,474,88,100,258,endgame long mate mateIn3,https://lichess.org/x2n19mLc/black#76,
8neen,4r1k1/p4ppp/8/1p6/4RP2/1P6/1P3rPP/3R2K1 b - - 0 26,e8e4 d1d8 e4e8 d8e8,479,105,69,205,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/9t71ofeY/black#52,
LtUCp,8/8/6kN/1r6/5R1K/6PP/8/8 w - - 3 61,h6g4 b5h5,482,103,86,379,endgame mate mateIn1 oneMove,https://lichess.org/JcSlb0ej#121,
yNODA,6k1/5pp1/1r5p/R2p4/3RpPn1/2P1P3/6PP/6K1 w - - 1 33,d4d5 b6b1 d5d1 b1d1,488,102,89,843,endgame mate mateIn2 short,https://lichess.org/hlMuBB29#65,
P7H3w,7R/6r1/R5kp/1p4p1/3PP1q1/P2n2P1/1P3P1P/5K2 b - - 3 34,g6h5 a6h6,489,99,93,399,endgame mate mateIn1 oneMove,https://lichess.org/nVNLix9p/black#68,
6gbXL,6k1/5p2/2R5/5N1P/2b1PK2/r4n2/8/8 b - - 3 47,g8f8 c6c8,492,85,62,55,endgame master mate mateIn1 oneMove,https://lichess.org/8jM6IE4Z/black#94,
Zylti,2kn1b1r/Rppb1q1p/3p4/7Q/4PB2/3B4/2P3PP/5R1K b - - 0 18,f7h5 a7a8,495,96,100,266,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/lc0tKtOj/black#36,Kings_Gambit_Accepted Kings_Gambit_Accepted_Kings_Knights_Gambit
1hiQ0,3r3k/5pp1/3p3p/4pP2/1Q2P3/1Pr5/P2q2PP/3R3K w - - 0 32,d1d2 c3c1 d2d1 c1d1 b4e1 d1e1,499,110,92,626,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/blxIxhpV#63,
CLd3o,r4r1k/pp5p/6p1/3Pq3/8/6P1/PPP3P1/1K2R1NR w - - 0 22,e1e5 f8f1 e5e1 f1e1,501,113,89,162,backRankMate endgame mate mateIn2 short,https://lichess.org/CXZY68Pv#43,
9TlPl,rnbq2k1/ppp2ppp/8/8/3br3/2P5/PP2N1PP/R1BQK2R b KQ - 0 12,d4b6 d1d8 e4e8 d8e8,503,96,87,637,fork hangingPiece mate mateIn2 opening short,https://lichess.org/6ijQVd4a/black#24,Petrovs_Defense Petrovs_Defense_Three_Knights_Game
IPl9h,6rk/pp1nq1pn/2p1pb1B/2P2r2/3PN1R1/3Q1N2/PP3P2/2K3R1 b - - 0 20,g7h6 g4g8,503,96,100,186,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/U7Q0ozab/black#40,
Aobim,8/r4ppk/4p2p/2q5/3P4/2R5/5PPP/6K1 w - - 0 36,d4c5 a7a1 c3c1 a1c1,503,100,81,474,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/kGtwg3GE#71,
MWNfV,3rk1r1/1q3p2/1p2p3/p1b2p1p/2Pp3P/PN1QP1P1/1P3P2/3R1RK1 b - - 0 19,d4e3 d3d8,509,106,92,737,mate mateIn1 middlegame oneMove,https://lichess.org/OT8ZRlRV/black#38,
TgdPx,r3kb1r/ppqn1ppp/4p1b1/3n4/6P1/2N2N1P/PPPBQP2/2KR3R w kq - 0 14,c3d5 c7c2,510,94,70,184,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/cHGix04t#27,Scandinavian_Defense Scandinavian_Defense_Main_Line
K02Sy,r2q2k1/p5p1/2pp1r1p/1pb5/6bN/1P1P4/1PP3PP/R1BQ1R1K w - - 2 18,d1g4 f6f1,510,98,100,155,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/tWoz69eX#35,Vienna_Game Vienna_Game_Max_Lange_Defense
4j9Aj,r3r1k1/1Nppqp1p/2pb2pB/p7/2b5/2P2Q1R/PP3PPP/3R2K1 w - - 18 22,b7d6 e7e1 d1e1 e8e1,512,99,96,4517,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/5q2lsXlI#43,
70KOp,1r5k/2Qb2pp/Br1p4/8/3p4/P2P4/2P3PP/R6K w - - 0 28,a6c4 b6b1 a1b1 b8b1,518,111,95,195,backRankMate endgame mate mateIn2 short,https://lichess.org/ZXWdAsZs#55,
XHaNy,3r2k1/5ppp/8/p3p3/1p1N3P/1P4P1/P4P1K/2R5 b - - 0 32,d8d4 c1c8 d4d8 c8d8,519,99,87,103,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/yuQv4RJF/black#64,
3W0BN,3rR1k1/5ppp/8/pQ6/8/P1q4P/2Pn1PP1/6K1 b - - 1 31,d8e8 b5e8,525,98,93,151,endgame mate mateIn1 oneMove,https://lichess.org/kQzQ5hta/black#62,
KJvWw,r3kr2/2p1bpQ1/p1N4p/8/8/1P6/Pq3PPP/R3R1K1 b q - 0 18,b2g7 e1e7,525,83,100,125,mate mateIn1 middlegame oneMove,https://lichess.org/A7M4pjoZ/black#36,Ruy_Lopez Ruy_Lopez_Other_variations
g8ooO,4r2k/1Q2R1pp/p2r4/1p6/4bP2/8/PP2NKPP/8 b - - 0 29,e4b7 e7e8,526,98,91,633,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/5O0ffSbA/black#58,
6VwaI,r2qnrk1/ppp3pp/4B3/3P4/4N3/P7/1bP3PP/R2Q1RK1 b - - 1 18,g8h8 f1f8,529,94,80,217,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/UdyGelAH/black#36,Vienna_Game Vienna_Game_Other_variations
SqWPS,4k3/p1n2ppp/2N1p3/2P5/4P2P/P1r5/5PP1/3R2K1 b - - 4 26,c3c5 d1d8,531,89,100,336,endgame master mate mateIn1 oneMove,https://lichess.org/aC4fH9e5/black#52,
GuU2m,8/8/8/5kpP/8/4K3/8/8 b - - 1 58,f5g4 h5h6 g4f5 h6h7,534,95,100,147,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/zQSWqGnq/black#116,
wJ1ac,8/4k3/q3p3/1p3p2/1P1P4/2P1Q3/5PPP/6K1 w - - 5 33,d4d5 a6a1 e3c1 a1c1,538,105,81,505,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/zqrbJeZM#65,
z9pvD,4r1k1/pbp2Rp1/1p4B1/8/8/2P1q3/P1Q3rP/6RK w - - 0 29,g1g2 e3e1 f7f1 e1f1,540,105,83,807,mate mateIn2 middlegame pin short,https://lichess.org/fEKlMXb8#57,
xiudy,3r3k/2Q3pp/4p3/3q4/2p2B2/8/5PPP/2R3K1 w - - 7 34,c1c4 d5d1,546,105,92,548,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/Y2faf9t8#67,
CLCPc,6k1/2N2ppp/pr6/1P4P1/2n2P1P/8/2P5/R5K1 b - - 0 28,a6b5 a1a8 b6b8 a8b8,548,94,94,557,backRankMate endgame mate mateIn2 short,https://lichess.org/v5zuP7lu/black#56,
fTjc4,5rk1/6p1/p3q1p1/3r4/2R5/P7/1P3PPP/4R1K1 w - - 0 26,e1e6 d5d1 e6e1 d1e1,550,88,64,138,endgame mate mateIn2 rookEndgame short,https://lichess.org/gGlFBzGz#51,
V9ugK,3R4/N1r1kppp/p7/1p6/5n2/P6P/1P3PP1/5K2 w - - 2 32,d8a8 c7c1,551,101,95,462,endgame mate mateIn1 oneMove,https://lichess.org/bzPwALmp#63,
j7yM8,r6k/pb4pp/2q2n2/1pb1P3/8/1Q4P1/PP4BP/R1B4K w - - 0 25,g2c6 b7c6 b3f3 c6f3,553,86,100,304,doubleBishopMate mate mateIn2 middlegame short,https://lichess.org/xMei8vO6#49,
5vpc3,2r3k1/p2n2p1/7p/4p3/8/4R3/PP3PPP/3R2K1 w - - 0 20,d1d7 c8c1 d7d1 c1d1 e3e1 d1e1,557,105,77,647,backRankMate endgame long mate mateIn3 rookEndgame,https://lichess.org/OaU4LsXN#39,
rLRUI,r1b3k1/ppN1rppp/5n2/4n3/8/1P6/PBP2PPP/3R1RK1 b - - 0 17,e7c7 d1d8 f6e8 d8e8,560,98,87,940,backRankMate mate mateIn2 middlegame short,https://lichess.org/vfFvQaYL/black#34,Four_Knights_Game Four_Knights_Game_Italian_Variation
gRnx6,2krr3/2p2p2/p1p2n1p/3p2p1/1b1P4/2N3B1/P1P2PPP/1R2R1K1 w - - 0 19,b1b4 e8e1,562,94,81,1664,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/rRTFarWx#37,Russian_Game Russian_Game_Other_variations
7Qck6,8/1p5p/5Bpk/8/1P6/b3q3/3r2PP/4R2K w - - 0 38,e1e3 d2d1 e3e1 d1e1,563,101,80,160,backRankMate endgame mate mateIn2 short,https://lichess.org/27Hu2Tss#75,
vh0Qy,4r1k1/1QR2ppp/4q3/2np4/3P4/1P2P1P1/PB4BP/6K1 w - - 1 28,d4c5 e6e3 g1h1 e3e1 g2f1 e1f1,564,89,79,341,endgame long mate mateIn3,https://lichess.org/t8cOXTs1#55,
lUDI2,2r3k1/pp1Rpp1p/6pB/4b3/P7/1P5P/6P1/6K1 b - - 2 28,c8c7 d7d8,567,84,64,173,endgame mate mateIn1 oneMove,https://lichess.org/uRKEYhpK/black#56,
s9UFp,r4rk1/ppp2p1p/4bB2/8/2p5/5R2/P5PP/6K1 b - - 3 22,b7b5 f3g3 e6g4 g3g4,568,90,100,175,endgame mate mateIn2 short,https://lichess.org/y2wGFuUU/black#44,
7RgKY,6k1/pb2rppp/2p5/3n4/2B5/5N2/PP3PPP/3R1K2 b - - 5 26,d5b6 d1d8 e7e8 d8e8,568,90,98,1362,endgame mate mateIn2 short,https://lichess.org/YwGKB5iu/black#52,
PCdfs,6k1/5b1p/4pBp1/pp2Pp2/2q1pP2/4P3/2r3PP/1R1Q2K1 b - - 1 28,b5b4 d1d8 f7e8 d8e8,568,107,60,194,endgame kingsideAttack mate mateIn2 short,https://lichess.org/QkbUipGL/black#56,
Jozts,3q2k1/1p2nppp/p4b2/4p3/4B3/1NP3Q1/PP3PPP/3r1R1K w - - 4 22,h1g1 d1f1 g1f1 d8d1,569,88,85,274,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/tFzXVVJs#43,
gFdre,4k1r1/5p2/p5pp/1p6/1Pp1pPq1/2P5/2Q2PP1/R1Br1KR1 w - - 1 28,c2d1 g4d1,574,98,77,198,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/xS6K5NSl#55,
NCV6w,rn2q1k1/pp3ppp/8/2P3B1/6n1/2P3K1/P6P/3R1B1R b - - 1 18,e8e4 d1d8 e4e8 d8e8,576,95,78,509,backRankMate mate mateIn2 middlegame short,https://lichess.org/toOvo7BK/black#36,Elephant_Gambit Elephant_Gambit_Other_variations
1AiNH,5rk1/2p3p1/pp1p4/2n2P2/2P2P2/N3rB1Q/P5PP/1q5K w - - 0 33,a3b1 e3e1,576,89,70,149,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/ZkF1RPWj#65,
tzrGn,5bk1/pp3Q2/6p1/3P1pNp/6nP/1P4P1/q4PB1/6K1 b - - 2 34,g8h8 f7f8,584,96,78,186,endgame hangingPiece master mate mateIn1 oneMove,https://lichess.org/8xyqRyet/black#68,
29YbK,2r3k1/p4ppp/1p5P/1q6/8/8/1bRQ1PP1/6K1 b - - 0 38,c8c2 d2d8 b5e8 d8e8,584,83,100,215,endgame mate mateIn2 short,https://lichess.org/GYmrKaDU/black#76,
rrOlL,2r1k1nr/4bp2/p2pb1pp/q2NpPP1/1p2P2P/1n2B1N1/PPPQ2B1/2KR3R w k - 1 19,a2b3 a5a1,585,96,94,228,master mate mateIn1 middlegame oneMove,https://lichess.org/mBC1retQ#37,
dPu1d,2r3k1/ppr2ppp/8/8/7P/1B4P1/PP1Q4/K3q3 w - - 0 33,d2e1 c7c1 e1c1 c8c1,588,103,70,176,backRankMate endgame fork mate mateIn2 short,https://lichess.org/Eh4VmnzH#65,
B4Mtm,6k1/5ppp/4bn2/2r1p3/p1P1P3/PP4NP/6P1/3R2K1 b - - 1 29,a4b3 d1d8 f6e8 d8e8,588,103,66,264,backRankMate endgame mate mateIn2 short,https://lichess.org/eM74pQPg/black#58,
PfrjK,3r3k/6pp/8/p1B4r/P2P1Q2/8/4q1PP/5R1K b - - 0 35,d8e8 f4f8 e8f8 f1f8,589,87,94,210,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/JAHr1qdw/black#70,
72nro,1r4k1/r4ppp/4p3/4PnB1/1Q4P1/5N2/5P1P/2R3K1 b - - 0 28,b8b4 c1c8,591,96,78,287,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/RFAWaZlg/black#56,
Oihxp,2r3k1/5ppp/4p1b1/3pN3/3P4/2Q4P/5PP1/R5K1 b - - 0 26,c8c3 a1a8 c3c8 a8c8,592,87,86,72,endgame mate mateIn2 short,https://lichess.org/Lw3c82wW/black#52,
54Opx,4r3/1pQ2pk1/1q1p2pp/pNnP4/P7/1P6/2R2PPP/6K1 w - - 4 34,c7b6 e8e1,593,103,83,890,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/559x4dbJ#67,
R8liQ,r2q1rk1/2p2pp1/p1np3p/1p1n4/4Q3/5N1P/PPB2PP1/RNB3K1 b - - 1 16,c6e7 e4h7,594,89,100,243,mate mateIn1 oneMove opening,https://lichess.org/h8VhrQIc/black#32,Italian_Game Italian_Game_Classical_Variation
2m88E,8/8/K7/7p/P7/6k1/8/8 w - - 0 47,a6b6 h5h4 a4a5 h4h3 a5a6 h3h2 b6c7 h2h1q,598,95,70,111,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/Z6iYTA0i#93,
o2HPz,8/8/7R/6p1/1r6/6k1/P5P1/6K1 w - - 1 53,h6g6 b4b1,600,110,94,716,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/7nA3n0RE#105,
DOTrY,3q1rk1/5ppp/2p5/1p6/4b3/QPP5/2P2PPP/4R1K1 w - - 0 22,e1e4 d8d1 e4e1 d1e1,600,100,41,119,endgame mate mateIn2 short,https://lichess.org/2zLXPfYK#43,
yy2Lo,r4k1r/ppq1b3/2pNP1pp/3n1bp1/3Q4/2P2N1P/PP3PP1/R3R1K1 b - - 0 18,c7d6 d4h8,600,77,55,92,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/wtCNtZQJ/black#36,Pirc_Defense Pirc_Defense_Other_variations
sst5L,Q7/pp2kpp1/2n5/4r1N1/8/2N1q3/PP4PP/R5K1 w - - 0 22,g1h1 e3e1 a1e1 e5e1,600,97,94,197,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/8wGLeeeC#43,
kwGxg,3k2r1/pR4pp/5p2/2p2K2/8/P4P1P/8/8 b - - 0 34,a7a6 b7b8 d8e7 b8g8,602,98,87,1378,crushing endgame rookEndgame short skewer,https://lichess.org/MooxIB6o/black#68,
lptNd,r1b1k2r/1ppp1ppp/3b1n2/p3q3/2B1P3/2P2Q2/PP1P1PPP/RNB2RK1 w kq - 5 11,d2d3 e5h2,605,88,63,89,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/PI1kbIEJ#21,Ruy_Lopez Ruy_Lopez_Bird_Variation
XdQCx,r2q1r1k/1b3NpB/2nbpn2/p1p3N1/2PP4/1p2P3/PBQ2PPP/R4RK1 b - - 0 16,f8f7 g5f7,613,85,100,392,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3KHerRJM/black#32,Rubinstein_Opening Rubinstein_Opening_Other_variations
3QqZr,r5k1/5ppp/p2Bp3/1pQnP2P/3Pq3/8/5PP1/2R3K1 b - - 5 29,d5f4 c5c8 a8c8 c1c8,621,98,87,316,backRankMate endgame mate mateIn2 sacrifice short,https://lichess.org/J0NeZEUO/black#58,
JLQQe,r5k1/pb1q1pp1/2n4p/1pN3N1/2p5/8/BbP1QPPP/4R1K1 b - - 1 21,d7c7 e2e8 a8e8 e1e8,623,98,81,344,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/MPk2pMSb/black#42,
I5lzA,2k2b1r/1pp2pp1/p1p1b1qp/P7/3r1p2/2N4P/1PP1QPPN/3R1R1K b - - 1 23,e6c4 e2e8 d4d8 d1d8,624,78,100,133,mate mateIn2 middlegame queensideAttack short,https://lichess.org/pfWHajoa/black#46,
PMvfA,4r3/p6R/n1pk4/N7/P2P4/1PP2pP1/5PbP/6K1 w - - 1 38,h2h4 e8e1 g1h2 e1h1,624,102,72,368,endgame mate mateIn2 short,https://lichess.org/Cse3KP3W#75,
67bLZ,3rBr1k/p3Q1pp/1p1P4/1b6/5p2/2q2P2/P3R1PP/4R2K b - - 10 32,f8e8 e7e8 b5e8 e2e8 d8e8 e1e8,624,92,95,211,backRankMate long mate mateIn3 middlegame,https://lichess.org/NdOlyMID/black#64,
AYi3C,2r3k1/1n3pp1/p6p/1p6/1P1bR3/P4N2/5PPP/6K1 w - - 0 29,f3d4 c8c1 e4e1 c1e1,626,101,74,504,backRankMate endgame mate mateIn2 short,https://lichess.org/fVobf2ai#57,
sSjDV,4r1k1/p2q1bpp/2p2p2/2Np4/3P4/1P2r1Q1/P4PPP/R5K1 w - - 0 23,c5d7 e3e1 a1e1 e8e1,626,80,67,105,backRankMate endgame mate mateIn2 short,https://lichess.org/EBsHpvti#45,
NqOVz,4k2r/3Q1pbp/4pp2/2q5/1p4P1/8/PPP2P1P/2KR4 b - - 3 26,e8f8 d7d8,629,81,100,171,endgame mate mateIn1 oneMove,https://lichess.org/7tVQt67f/black#52,
x1s59,7r/p3npp1/2p1k2p/4P3/2p2BP1/P7/1PP4P/3R3K b - - 0 23,h8b8 d1d6,631,84,100,198,endgame mate mateIn1 oneMove,https://lichess.org/hr0WVK1q/black#46,
j3kPQ,8/1p1bk1p1/5p1p/p1pRnP2/2P3PP/1P6/P7/2KB4 w - - 0 33,d5c5 e5d3 c1d2 d3c5,633,83,100,219,advantage endgame fork short,https://lichess.org/Jc6yU9ds#65,
QvRYl,6k1/5pp1/4p2p/8/7P/1PP2P2/r4P2/2K4R w - - 0 24,h1f1 a2a1 c1d2 a1f1,633,84,82,226,crushing endgame rookEndgame short skewer,https://lichess.org/dluTv35R#47,
BJInt,1k2r3/p1p2ppp/1p2rnq1/8/5B2/3P1Q1P/PPP2PP1/R4RK1 w - - 4 19,f1e1 e6e1 a1e1 e8e1,635,81,100,67,advantage kingsideAttack middlegame short,https://lichess.org/bHzc3KHk#37,
gADuy,rn3rk1/3qb1pp/p3p3/1p1b2N1/8/P2Q4/1P2BPPP/R1B2RK1 b - - 1 16,b8c6 d3h7,635,81,80,104,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/iVVR6RBg/black#32,Sicilian_Defense Sicilian_Defense_Alapin_Variation
eGUsm,5k2/5R2/7p/3p2p1/6q1/4PN2/5PPP/6K1 b - - 0 32,f8f7 f3e5 f7f6 e5g4,636,106,94,828,crushing endgame fork short,https://lichess.org/tlyMcjSG/black#64,
MpOHC,2r3k1/p5p1/5p1p/5b2/3P1B2/3BP3/3R1PPP/6K1 w - - 1 27,d3f5 c8c1 d2d1 c1d1,637,101,73,82,backRankMate endgame mate mateIn2 short,https://lichess.org/A3mFAF3K#53,
Uo6Ut,1r5k/6pp/5p2/4pP2/3pP3/3q3P/1R4PK/Q7 b - - 1 37,b8b2 a1a8 b2b8 a8b8,638,82,97,416,backRankMate endgame mate mateIn2 short,https://lichess.org/alWtvNXO/black#74,
8ppW9,2n3k1/7p/2P3p1/2r2p2/8/5N2/5PPP/R5K1 w - - 0 40,a1a6 c5c1 f3e1 c1e1,639,81,47,103,backRankMate endgame mate mateIn2 short,https://lichess.org/egPQXvGn#79,
UsjVX,7k/p1p3p1/1p4rp/3P1B2/2b5/6P1/P4P1P/4R1K1 b - - 1 33,g6d6 e1e8,640,96,84,778,endgame mate mateIn1 oneMove,https://lichess.org/OY28KyKi/black#66,
ikQS2,6k1/2p2ppp/3p4/8/1q4P1/pR5P/2P5/2K5 b - - 1 34,b4a4 b3b8 a4e8 b8e8,646,112,68,128,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/WuQ13BXC/black#68,
wQvLD,8/6k1/R5p1/1p3p2/1P3P2/P5PK/r6P/8 w - - 5 40,h3h4 a2h2 h4g5 h2h5,646,84,100,110,endgame master mate mateIn2 rookEndgame short,https://lichess.org/arbxED5S#79,
ra2SX,3r2k1/4b1pp/p3qn2/1pp5/3r4/PPN5/5PPP/RBB1R1K1 w - - 0 20,e1e6 d4d1 c3d1 d8d1 e6e1 d1e1,647,95,100,47,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/vGCERJQm#39,
bLqia,5k2/4n3/q2B4/6Q1/3P4/8/5PPP/5K2 w - - 1 47,f1g1 a6a1 g5c1 a1c1,648,93,93,146,backRankMate endgame master mate mateIn2 short,https://lichess.org/PKxFNAha#93,
