PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
w92vl,4r2k/5Bpp/8/4P1bP/6P1/P1Q5/KP6/7q b - - 4 37,e8e7 c3c8 e7e8 c8e8,1061,112,82,19,backRankMate endgame mate mateIn2 short,https://lichess.org/izh8fxzS/black#74,
TQF6p,8/1R3pk1/6pp/5b2/3b3P/3N2P1/5PK1/8 w - - 13 49,d3f4 f5e4 f2f3 e4b7,1061,75,100,245,advantage endgame fork short,https://lichess.org/ER4H4Ewe#97,
TL6FS,8/2B4R/p2P4/2r3k1/P2n1p2/8/5PP1/5K2 w - - 5 44,c7b6 c5c1,1061,205,25,20,endgame mate mateIn1 oneMove,https://lichess.org/W7aj32Eh#87,
jjPKJ,r7/p2R1P2/Pp6/6r1/3pk3/4p3/8/2B2RK1 w - - 0 38,g1h2 a8h8,1061,76,86,392,endgame mate mateIn1 oneMove,https://lichess.org/XN6VAYJB#75,
SKStS,2k3r1/4n3/pq2pQ2/1p1p2R1/2p4r/2NB4/PPP3K1/5R2 b - - 3 24,g8g5 f6g5 h4h8 g5e7,1061,92,92,875,advantage fork master middlegame short,https://lichess.org/mnZTJ1RC/black#48,
P24n0,1r3rk1/2p2pp1/ppn2n1p/2p1p3/4P2N/2PPB1Pq/PP3P1P/R2Q1RK1 w - - 0 16,h4g2 f6g4 d1g4 h3g4,1064,84,83,344,crushing middlegame short,https://lichess.org/QbLAFNYP#31,Kings_Pawn_Game Kings_Pawn_Game_Leonardis_Variation
xc20K,8/6bk/6pp/2P2p2/P4P2/5K2/7P/8 b - - 0 47,g7f8 c5c6 f8d6 a4a5,1065,85,90,966,bishopEndgame crushing defensiveMove endgame master short,https://lichess.org/4bZ0Vyzt/black#94,
xHhFJ,7k/6p1/7p/8/4P3/pr4P1/6BP/2b2R1K w - - 0 37,f1c1 a3a2 g2f1 b3b1,1065,75,100,632,advancedPawn crushing endgame short,https://lichess.org/YOjKsqqL#73,
u0MK0,5r1k/5Npp/p4b2/4p3/P1Q5/4P3/4KPqP/8 b - - 1 37,f8f7 c4c8 f6d8 c8d8 f7f8 d8f8,1065,95,95,1042,endgame long mate mateIn3,https://lichess.org/4LFHYEI2/black#74,
tCv11,2r3k1/1p3ppp/1p6/4b3/3N4/B1p1PP1P/rP2K1P1/2R5 b - - 1 26,c3b2 c1c8,1066,101,90,42,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/OnbqeFR5/black#52,
4FqbS,8/1b1r2k1/5bpp/B1p5/1pp5/1P1P1BP1/P5KP/4R3 w - - 0 33,d3c4 d7d2 g2f1 b7f3,1067,85,100,196,crushing deflection endgame short,https://lichess.org/fMoRCPlt#65,
JLYrQ,5rk1/6pp/2p1p3/2P1P2b/R1NPpq2/P3R3/6PP/1r2Q1K1 w - - 7 32,e1b1 f4f2 g1h1 f2f1 b1f1 f8f1,1068,83,93,3507,backRankMate long mate mateIn3 middlegame,https://lichess.org/nmkr8CtP#63,
mJmdB,6rk/6r1/2np3p/8/pp1P4/2PBP2b/PP3RPN/R5K1 w - - 0 31,g1h1 h3g2 f2g2 g7g2,1069,84,93,624,crushing kingsideAttack middlegame short,https://lichess.org/D8aoqZpW#61,
